"filename", "language", "Markdown", "PHP", "HTML", "JavaScript", "CSS", "JSON", "Draw.io", "XML", "comment", "blank", "total"
"c:\xampp\htdocs\esp-costeo\README.md", "Markdown", 9, 0, 0, 0, 0, 0, 0, 0, 0, 5, 14
"c:\xampp\htdocs\esp-costeo\assets\style.css", "CSS", 0, 0, 0, 0, 97, 0, 0, 0, 0, 24, 121
"c:\xampp\htdocs\esp-costeo\data\andres.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 18, 0, 3, 21
"c:\xampp\htdocs\esp-costeo\data\ejemplo.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 13, 0, 8, 21
"c:\xampp\htdocs\esp-costeo\data\inputs.json", "JSON", 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 23
"c:\xampp\htdocs\esp-costeo\docs\draws\login.drawio", "Draw.io", 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 16
"c:\xampp\htdocs\esp-costeo\index.html", "HTML", 0, 0, 14, 0, 0, 0, 0, 0, 1, 0, 15
"c:\xampp\htdocs\esp-costeo\layout\assets\css\home.css", "CSS", 0, 0, 0, 0, 55, 0, 0, 0, 3, 8, 66
"c:\xampp\htdocs\esp-costeo\layout\assets\css\menu.css", "CSS", 0, 0, 0, 0, 92, 0, 0, 0, 6, 15, 113
"c:\xampp\htdocs\esp-costeo\layout\assets\ejemplo.json", "JSON", 0, 0, 0, 0, 0, 44, 0, 0, 0, 0, 44
"c:\xampp\htdocs\esp-costeo\layout\index.html", "HTML", 0, 0, 62, 0, 0, 0, 0, 0, 10, 18, 90
"c:\xampp\htdocs\esp-costeo\layout\public\finanzas\calc_financiera.html", "HTML", 0, 0, 158, 0, 0, 0, 0, 0, 5, 33, 196
"c:\xampp\htdocs\esp-costeo\layout\public\finanzas\style.css", "CSS", 0, 0, 0, 0, 183, 0, 0, 0, 4, 31, 218
"c:\xampp\htdocs\esp-costeo\layout\public\menu.php", "PHP", 0, 64, 0, 0, 0, 0, 0, 0, 0, 13, 77
"c:\xampp\htdocs\esp-costeo\layout\src\js\actives_inputs.js", "JavaScript", 0, 0, 0, 61, 0, 0, 0, 0, 16, 17, 94
"c:\xampp\htdocs\esp-costeo\layout\src\js\inputs_insumos.js", "JavaScript", 0, 0, 0, 39, 0, 0, 0, 0, 10, 6, 55
"c:\xampp\htdocs\esp-costeo\layout\src\js\step_control.js", "JavaScript", 0, 0, 0, 188, 0, 0, 0, 0, 51, 79, 318
"c:\xampp\htdocs\esp-costeo\layout\src\php\conexion.php", "PHP", 0, 9, 0, 0, 0, 0, 0, 0, 0, 2, 11
"c:\xampp\htdocs\esp-costeo\layout\src\php\login.php", "PHP", 0, 28, 0, 0, 0, 0, 0, 0, 5, 6, 39
"c:\xampp\htdocs\esp-costeo\layout\src\php\logout.php", "PHP", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 6
"c:\xampp\htdocs\esp-costeo\layout\src\php\register.php", "PHP", 0, 32, 0, 0, 0, 0, 0, 0, 18, 8, 58
"c:\xampp\htdocs\esp-costeo\layout\src\php\session_check.php", "PHP", 0, 6, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\xampp\htdocs\esp-costeo\login.html", "HTML", 0, 0, 110, 0, 0, 0, 0, 0, 0, 23, 133
"c:\xampp\htdocs\esp-costeo\public\calculadoras\ac_rec_2ok.php", "PHP", 0, 148, 0, 0, 0, 0, 0, 0, 0, 7, 155
"c:\xampp\htdocs\esp-costeo\public\calculadoras\c_binario.php", "PHP", 0, 14, 0, 0, 0, 0, 0, 0, 0, 1, 15
"c:\xampp\htdocs\esp-costeo\public\calculadoras\c_contable.php", "PHP", 0, 13, 0, 0, 0, 0, 0, 0, 0, 2, 15
"c:\xampp\htdocs\esp-costeo\public\calculadoras\c_fecha.php", "PHP", 0, 34, 0, 0, 0, 0, 0, 0, 0, 4, 38
"c:\xampp\htdocs\esp-costeo\public\calculadoras\c_fecha_2.php", "PHP", 0, 19, 0, 0, 0, 0, 0, 0, 9, 9, 37
"c:\xampp\htdocs\esp-costeo\public\calculadoras\c_financiera.php", "PHP", 0, 13, 0, 0, 0, 0, 0, 0, 0, 2, 15
"c:\xampp\htdocs\esp-costeo\public\calculadoras\c_fiscal.php", "PHP", 0, 44, 0, 0, 0, 0, 0, 0, 0, 7, 51
"c:\xampp\htdocs\esp-costeo\public\calculadoras\conexion.php", "PHP", 0, 7, 0, 0, 0, 0, 0, 0, 0, 8, 15
"c:\xampp\htdocs\esp-costeo\public\calculadoras\fun_e.php", "PHP", 0, 116, 0, 0, 0, 0, 0, 0, 15, 53, 184
"c:\xampp\htdocs\esp-costeo\public\calculadoras\isr_salarios.php", "PHP", 0, 152, 0, 0, 0, 0, 0, 0, 12, 51, 215
"c:\xampp\htdocs\esp-costeo\public\calculadoras\practicas.php", "PHP", 0, 100, 0, 0, 0, 0, 0, 0, 8, 20, 128
"c:\xampp\htdocs\esp-costeo\public\calculadoras\practicas2.php", "PHP", 0, 192, 0, 0, 0, 0, 0, 0, 26, 35, 253
"c:\xampp\htdocs\esp-costeo\public\calculadoras\practicas3.php", "PHP", 0, 167, 0, 0, 0, 0, 0, 0, 15, 27, 209
"c:\xampp\htdocs\esp-costeo\public\calculadoras\procesar_formulario.php", "PHP", 0, 118, 0, 0, 0, 0, 0, 0, 2, 50, 170
"c:\xampp\htdocs\esp-costeo\public\calculadoras\prueba_int_ok.php", "PHP", 0, 36, 0, 0, 0, 0, 0, 0, 2, 7, 45
"c:\xampp\htdocs\esp-costeo\public\menu.php", "PHP", 0, 21, 0, 0, 0, 0, 0, 0, 0, 7, 28
"c:\xampp\htdocs\esp-costeo\public\simuladores\costeo.php", "PHP", 0, 83, 0, 0, 0, 0, 0, 0, 0, 23, 106
