"filename", "language", "CSS", "JavaScript", "Markdown", "PHP", "Draw.io", "HTML", "JSON", "comment", "blank", "total"
"c:\xampp\htdocs\esp-costeo\README.md", "Markdown", 0, 0, 9, 0, 0, 0, 0, 0, 4, 13
"c:\xampp\htdocs\esp-costeo\assets\bootstrap\css\bootstrap.min.css", "CSS", 2, 0, 0, 0, 0, 0, 0, 4, 0, 6
"c:\xampp\htdocs\esp-costeo\assets\bootstrap\js\bootstrap.min.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 6, 0, 7
"c:\xampp\htdocs\esp-costeo\assets\css\home.css", "CSS", 55, 0, 0, 0, 0, 0, 0, 3, 8, 66
"c:\xampp\htdocs\esp-costeo\assets\css\menu.css", "CSS", 92, 0, 0, 0, 0, 0, 0, 6, 15, 113
"c:\xampp\htdocs\esp-costeo\assets\ejemplo.json", "JSON", 0, 0, 0, 0, 0, 0, 44, 0, 0, 44
"c:\xampp\htdocs\esp-costeo\docs\draws\login.drawio", "Draw.io", 0, 0, 0, 0, 16, 0, 0, 0, 0, 16
"c:\xampp\htdocs\esp-costeo\index.html", "HTML", 0, 0, 0, 0, 0, 119, 0, 11, 27, 157
"c:\xampp\htdocs\esp-costeo\public\binario\index.php", "PHP", 0, 0, 0, 29, 0, 0, 0, 0, 1, 30
"c:\xampp\htdocs\esp-costeo\public\binario\scripts.js", "JavaScript", 0, 35, 0, 0, 0, 0, 0, 0, 6, 41
"c:\xampp\htdocs\esp-costeo\public\binario\styles.css", "CSS", 44, 0, 0, 0, 0, 0, 0, 0, 8, 52
"c:\xampp\htdocs\esp-costeo\public\finanzas\calc_financiera.php", "PHP", 0, 0, 0, 156, 0, 0, 0, 0, 35, 191
"c:\xampp\htdocs\esp-costeo\public\finanzas\style.css", "CSS", 189, 0, 0, 0, 0, 0, 0, 4, 31, 224
"c:\xampp\htdocs\esp-costeo\public\finanzas\validateTable.js", "JavaScript", 0, 18, 0, 0, 0, 0, 0, 0, 4, 22
"c:\xampp\htdocs\esp-costeo\public\indicadores\indicadores.php", "PHP", 0, 0, 0, 48, 0, 0, 0, 0, 15, 63
"c:\xampp\htdocs\esp-costeo\public\indicadores\modules\umi.php", "PHP", 0, 0, 0, 33, 0, 0, 0, 4, 7, 44
"c:\xampp\htdocs\esp-costeo\public\indicadores\style.css", "CSS", 114, 0, 0, 0, 0, 0, 0, 4, 27, 145
"c:\xampp\htdocs\esp-costeo\public\menu.php", "PHP", 0, 0, 0, 67, 0, 0, 0, 1, 14, 82
"c:\xampp\htdocs\esp-costeo\src\js\actives_inputs.js", "JavaScript", 0, 107, 0, 0, 0, 0, 0, 32, 30, 169
"c:\xampp\htdocs\esp-costeo\src\js\inputs_insumos.js", "JavaScript", 0, 40, 0, 0, 0, 0, 0, 10, 6, 56
"c:\xampp\htdocs\esp-costeo\src\js\step_control.js", "JavaScript", 0, 278, 0, 0, 0, 0, 0, 46, 85, 409
"c:\xampp\htdocs\esp-costeo\src\php\conexion.php", "PHP", 0, 0, 0, 9, 0, 0, 0, 0, 2, 11
"c:\xampp\htdocs\esp-costeo\src\php\login.php", "PHP", 0, 0, 0, 32, 0, 0, 0, 5, 7, 44
"c:\xampp\htdocs\esp-costeo\src\php\logout.php", "PHP", 0, 0, 0, 6, 0, 0, 0, 0, 0, 6
"c:\xampp\htdocs\esp-costeo\src\php\register.php", "PHP", 0, 0, 0, 36, 0, 0, 0, 18, 9, 63
"c:\xampp\htdocs\esp-costeo\src\php\session_check.php", "PHP", 0, 0, 0, 6, 0, 0, 0, 0, 1, 7
"Total", "-", 496, 479, 9, 422, 16, 119, 44, 154, 342, 2081
